Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;141962;PC FFV Euro-6 _(P);flex-fuel E85;not specified;PC P Euro-6ab;42676.96484;1.83909E-05;0.182688117;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;154952;PC PHEV petrol Euro-5_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-5;113248.4688;0.000105315;0.182688117;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;154965;PC PHEV petrol Euro-6ab_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;63851.94922;0.001487925;0.182688117;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;154958;PC PHEV petrol Euro-6d_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;23187.92969;0.003065743;0.182688117;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;155952;PC PHEV diesel Euro-5_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-5;167474.75;9.8622E-06;0.037946627;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;155965;PC PHEV diesel Euro-6ab_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;81889.02344;4.11048E-05;-0.037472244;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;155958;PC PHEV diesel Euro-6d_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;28318.78125;8.30709E-05;-0.037472244;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;161922;PC LPG/petrol Euro-2_(P);bifuel LPG/petrol;not specified;PC P Euro-2;237678.8594;1.1714E-06;0.430786192;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;161932;PC LPG/petrol Euro-3_(P);bifuel LPG/petrol;not specified;PC P Euro-3;218542.3906;7.41075E-06;0.138980925;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;161942;PC LPG/petrol Euro-4_(P);bifuel LPG/petrol;not specified;PC P Euro-4;168958.2813;7.69436E-05;0.208831787;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;161952;PC LPG/petrol Euro-5_(P);bifuel LPG/petrol;not specified;PC P Euro-5;153128.6719;4.32505E-05;0.182688117;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,0-1h,0-1km;161962;PC LPG/petrol Euro-6_(P);bifuel LPG/petrol;not specified;PC P Euro-6ab;38473.07422;3.69473E-05;0.182688117;0.052931495;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111904;PC petrol ECE-15'04;petrol (4S);not specified;PC P Euro-0;220604.8594;7.97233E-05;-0.072802804;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;210318.5938;0.001219307;1.195485473;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111920;PC petrol Euro-2;petrol (4S);not specified;PC P Euro-2;196643.7813;0.008536982;0.675709128;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111930;PC petrol Euro-3;petrol (4S);not specified;PC P Euro-3;175838.9844;0.019227868;0.242839575;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111940;PC petrol Euro-4;petrol (4S);not specified;PC P Euro-4;145779.25;0.031943236;0.37666747;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111950;PC petrol Euro-5;petrol (4S);not specified;PC P Euro-5;106131.7969;0.058916871;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111961;PC petrol Euro-6ab;petrol (4S);not specified;PC P Euro-6ab;66197.00781;0.082369171;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111965;PC petrol Euro-6c;petrol (4S);not specified;PC P Euro-6cd;43431.35938;0.043270264;0.264537305;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;111968;PC petrol Euro-6d;petrol (4S);not specified;PC P Euro-6cd;19861.0625;0.064392313;0.264537305;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121909;PC diesel 1986-1988;diesel;not specified;PC D Euro-0;406572.9063;3.87844E-05;0.075009897;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121910;PC diesel Euro-1;diesel;not specified;PC D Euro-1;377537.25;0.001675499;0.074965417;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121921;PC diesel Euro-2 (DPF);diesel;not specified;PC D Euro-2;336490.3125;0.006963221;0.067982979;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;284639.1563;7.01486E-18;-0.009948055;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3 (DPF);284639.1563;0.041854195;-0.009948061;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121940;PC diesel Euro-4;diesel;not specified;PC D Euro-4;222993.3906;1.82862E-09;-0.070315294;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121941;PC diesel Euro-4 (DPF);diesel;not specified;PC D Euro-4 (DPF);222993.3906;0.163578942;-0.105472945;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121950;PC diesel Euro-5;diesel;not specified;PC D Euro-5;159892.3125;0.193180934;0.055042505;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121965;PC diesel Euro-6c;diesel;not specified;PC D Euro-6c;57040.42969;0.048191596;0;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121955;PC diesel Euro-6ab;diesel;not specified;PC D Euro-6ab;94579.64063;0.114155054;-0.053579871;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121969;PC diesel Euro-6d;diesel;not specified;PC D Euro-6d;25846.60352;0.070998907;0.093707055;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;121953;PC diesel Euro-5 EA189 after software update;diesel;not specified;PC D Euro-5;159892.3125;0.02608707;0.055042505;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;132942;PC CNG/petrol Euro-4_(P);bifuel CNG/petrol;not specified;PC P Euro-4;182447.9688;1.31756E-06;0.37666747;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;132952;PC CNG/petrol Euro-5_(P);bifuel CNG/petrol;not specified;PC P Euro-5;137575.3594;7.67932E-07;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;132962;PC CNG/petrol Euro-6_(P);bifuel CNG/petrol;not specified;PC P Euro-6ab;41605.75391;2.89897E-06;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;141942;PC FFV Euro-4 _(P);flex-fuel E85;not specified;PC P Euro-4;175884.0469;1.05755E-05;0.37666747;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;141952;PC FFV Euro-5 _(P);flex-fuel E85;not specified;PC P Euro-5;147831.0625;1.78275E-05;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;141962;PC FFV Euro-6 _(P);flex-fuel E85;not specified;PC P Euro-6ab;42676.96484;1.83909E-05;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;154952;PC PHEV petrol Euro-5_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-5;113248.4688;0.000105315;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;154965;PC PHEV petrol Euro-6ab_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;63851.94922;0.001487925;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;154958;PC PHEV petrol Euro-6d_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;23187.92969;0.003065743;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;155952;PC PHEV diesel Euro-5_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-5;167474.75;9.8622E-06;0.055042505;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;155965;PC PHEV diesel Euro-6ab_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;81889.02344;4.11048E-05;-0.053579871;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;155958;PC PHEV diesel Euro-6d_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;28318.78125;8.30709E-05;-0.053579871;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;161922;PC LPG/petrol Euro-2_(P);bifuel LPG/petrol;not specified;PC P Euro-2;237678.8594;1.1714E-06;0.675709128;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;161932;PC LPG/petrol Euro-3_(P);bifuel LPG/petrol;not specified;PC P Euro-3;218542.3906;7.41075E-06;0.242839575;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;161942;PC LPG/petrol Euro-4_(P);bifuel LPG/petrol;not specified;PC P Euro-4;168958.2813;7.69436E-05;0.37666747;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;161952;PC LPG/petrol Euro-5_(P);bifuel LPG/petrol;not specified;PC P Euro-5;153128.6719;4.32505E-05;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,1-2h,0-1km;161962;PC LPG/petrol Euro-6_(P);bifuel LPG/petrol;not specified;PC P Euro-6ab;38473.07422;3.69473E-05;0.329252571;0.096062787;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111904;PC petrol ECE-15'04;petrol (4S);not specified;PC P Euro-0;220604.8594;7.97233E-05;-0.069859803;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;210318.5938;0.001219307;1.163033009;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111920;PC petrol Euro-2;petrol (4S);not specified;PC P Euro-2;196643.7813;0.008536982;0.657366455;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111930;PC petrol Euro-3;petrol (4S);not specified;PC P Euro-3;175838.9844;0.019227868;0.240947992;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111940;PC petrol Euro-4;petrol (4S);not specified;PC P Euro-4;145779.25;0.031943236;0.382450968;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111950;PC petrol Euro-5;petrol (4S);not specified;PC P Euro-5;106131.7969;0.058916871;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111961;PC petrol Euro-6ab;petrol (4S);not specified;PC P Euro-6ab;66197.00781;0.082369171;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111965;PC petrol Euro-6c;petrol (4S);not specified;PC P Euro-6cd;43431.35938;0.043270264;0.2695705;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;111968;PC petrol Euro-6d;petrol (4S);not specified;PC P Euro-6cd;19861.0625;0.064392313;0.2695705;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121909;PC diesel 1986-1988;diesel;not specified;PC D Euro-0;406572.9063;3.87844E-05;0.079984851;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121910;PC diesel Euro-1;diesel;not specified;PC D Euro-1;377537.25;0.001675499;0.079937086;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121921;PC diesel Euro-2 (DPF);diesel;not specified;PC D Euro-2;336490.3125;0.006963221;0.072427884;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;284639.1563;7.01486E-18;-0.010564014;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3 (DPF);284639.1563;0.041854195;-0.01056402;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121940;PC diesel Euro-4;diesel;not specified;PC D Euro-4;222993.3906;1.82862E-09;-0.074760444;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121941;PC diesel Euro-4 (DPF);diesel;not specified;PC D Euro-4 (DPF);222993.3906;0.163578942;-0.11214067;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121950;PC diesel Euro-5;diesel;not specified;PC D Euro-5;159892.3125;0.193180934;0.058733787;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121965;PC diesel Euro-6c;diesel;not specified;PC D Euro-6c;57040.42969;0.048191596;0;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121955;PC diesel Euro-6ab;diesel;not specified;PC D Euro-6ab;94579.64063;0.114155054;-0.057032499;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121969;PC diesel Euro-6d;diesel;not specified;PC D Euro-6d;25846.60352;0.070998907;0.099894926;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;121953;PC diesel Euro-5 EA189 after software update;diesel;not specified;PC D Euro-5;159892.3125;0.02608707;0.058733787;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;132942;PC CNG/petrol Euro-4_(P);bifuel CNG/petrol;not specified;PC P Euro-4;182447.9688;1.31756E-06;0.382450968;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;132952;PC CNG/petrol Euro-5_(P);bifuel CNG/petrol;not specified;PC P Euro-5;137575.3594;7.67932E-07;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;132962;PC CNG/petrol Euro-6_(P);bifuel CNG/petrol;not specified;PC P Euro-6ab;41605.75391;2.89897E-06;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;141942;PC FFV Euro-4 _(P);flex-fuel E85;not specified;PC P Euro-4;175884.0469;1.05755E-05;0.382450968;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;141952;PC FFV Euro-5 _(P);flex-fuel E85;not specified;PC P Euro-5;147831.0625;1.78275E-05;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;141962;PC FFV Euro-6 _(P);flex-fuel E85;not specified;PC P Euro-6ab;42676.96484;1.83909E-05;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;154952;PC PHEV petrol Euro-5_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-5;113248.4688;0.000105315;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;154965;PC PHEV petrol Euro-6ab_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;63851.94922;0.001487925;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;154958;PC PHEV petrol Euro-6d_(P);Plug-in Hybrid petrol/electric;not specified;PC P Euro-6ab;23187.92969;0.003065743;0.334198207;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;155952;PC PHEV diesel Euro-5_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-5;167474.75;9.8622E-06;0.058733787;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;155965;PC PHEV diesel Euro-6ab_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;81889.02344;4.11048E-05;-0.057032499;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;155958;PC PHEV diesel Euro-6d_(D);Plug-in Hybrid diesel/electric;not specified;PC D Euro-6ab;28318.78125;8.30709E-05;-0.057032499;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;161922;PC LPG/petrol Euro-2_(P);bifuel LPG/petrol;not specified;PC P Euro-2;237678.8594;1.1714E-06;0.657366455;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;161932;PC LPG/petrol Euro-3_(P);bifuel LPG/petrol;not specified;PC P Euro-3;218542.3906;7.41075E-06;0.240947992;0.097057149;;;;;;
2021ParcAuto[4.1];pass. car;2021;REF F HB41;NOx;Urban;TØ,2-3h,0-1km;161942;PC LPG/petrol Euro-4_(P);bifuel LPG/petrol;not specified;PC P Euro-4;168958.2813;7.69436E-05;0.382450968;0.097057149;;;;;;
